cat,ACS,BARE,PLAN,UNPLAN,VEG
1,0.00100000000,0.26700000000,0.00100000000,0.00300000000,0.73000000000
2,0.00000000000,0.53100000000,0.00050000000,0.00300000000,0.46550000000
3,0.00000000000,0.13100000000,0.00550000000,0.01400000000,0.84950000000
4,0.10900000000,0.32000000000,0.11200000000,0.16650000000,0.29250000000
5,0.08000000000,0.00500000000,0.52000000000,0.39100000000,0.00400000000
